Index,Direction,Type,Format,Frame ID,Length,Datas(Hex),Status,Time
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:02:32.739.100
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:02:32.836.000
CAN2,Receive,Extended,Data,0x0A010002,8,12 4D 00 00 11 A3 00 00 ,Success,00:02:32.837.100
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 85 00 00 ,Success,00:02:32.838.100
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:02:32.839.100
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:02:32.936.000
CAN2,Receive,Extended,Data,0x0A010002,8,12 4E 00 00 11 A4 00 00 ,Success,00:02:32.937.200
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 88 00 00 ,Success,00:02:32.938.200
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:02:32.939.200
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:02:33.036.100
CAN2,Receive,Extended,Data,0x0A010002,8,12 4E 00 00 11 A1 00 00 ,Success,00:02:33.037.200
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 88 00 00 ,Success,00:02:33.038.200
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:02:33.039.200
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:02:33.136.100
CAN2,Receive,Extended,Data,0x0A010002,8,12 4E 00 00 11 A2 00 00 ,Success,00:02:33.137.200
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 82 00 00 ,Success,00:02:33.138.200
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:02:33.139.200
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:02:33.236.100
